regions,periods,input_comm,tech,TIS,ti_split_notes
TO,2025,WATWASELC,WATWASWWHBGASERKSTDMENE_23,0.2,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2025,WATWASNGA,WATWASWWHBADIPUB___MENE_23,0.8,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2025,WATWASELC,WATWASWWHBADIPUB___MENE_23,0.2,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2025,WATWASNGA,WATWASWWHCGASERKSTDMENE_23,0.8,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2025,WATWASELC,WATWASWWHCGASERKSTDMENE_23,0.2,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2025,WATWASNGA,WATWASWWHCADIPUB___MENE_23,0.8,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2025,WATWASELC,WATWASWWHCADIPUB___MENE_23,0.2,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2026,WATWASNGA,WATWASWWABGASERKSTDMENE_23,0.8,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2026,WATWASELC,WATWASWWABGASERKSTDMENE_23,0.2,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2026,WATWASNGA,WATWASWWABADIPUB___MENE_23,0.8,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2026,WATWASELC,WATWASWWABADIPUB___MENE_23,0.2,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2026,WATWASNGA,WATWASWWHBGASERKSTDMENE_23,0.8,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2026,WATWASELC,WATWASWWHBGASERKSTDMENE_23,0.2,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2026,WATWASNGA,WATWASWWHBADIPUB___MENE_23,0.8,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2026,WATWASELC,WATWASWWHBADIPUB___MENE_23,0.2,WaterWasteWaste waterHumber Wastewater Treatment PlantTons to EnergyAnaerobic DigesterPublicMix Energy
TO,2026,WATWASNGA,WATWASWWHCGASERKSTDMENE_23,0.8,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
TO,2026,WATWASELC,WATWASWWHCGASERKSTDMENE_23,0.2,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantTons to EnergyGasificationEnerkemStandard EfficiencyMix Energy
